Authors,Record Count,% of 354
Abdelmohsen UR,1,0.282
Abdou K,2,0.565
Aberle N,2,0.565
Abessa DMD,2,0.565
Able KW,1,0.282
Abrams MJ,1,0.282
Abu-baih DH,1,0.282
Acha EM,1,0.282
Acha M,1,0.282
Acharyya T,1,0.282
Acosta JJ,1,0.282
Aguilar A,1,0.282
Aguirre W,1,0.282
Agusti S,1,0.282
Ahtiainen H,1,0.282
Ahyong ST,1,0.282
Ainsworth C,1,0.282
Ainsworth CH,2,0.565
Akoglu E,2,0.565
Aksnes DL,1,0.282
Albajes-eizagirre A,1,0.282
Albo-puigserver M,1,0.282
Albouy-boyer S,1,0.282
Aldred N,1,0.282
Aleksa KT,1,0.282
Alfaro-shigueto J,2,0.565
Aliaga-rossel E,1,0.282
Allega L,1,0.282
Almeda R,1,0.282
Almunia J,1,0.282
Alonso E,1,0.282
Alsenani F,1,0.282
Altarriba E,1,0.282
Alva-basurto JC,1,0.282
Alzubaidi MA,1,0.282
Ames CL,1,0.282
Amyot M,1,0.282
Andaloro F,1,0.282
Andrade C,1,0.282
Andrews KS,1,0.282
Aneesh BP,1,0.282
Ang M,1,0.282
Angel DL,2,0.565
Anh PV,1,0.282
Anthony CJ,1,0.282
Antonelis GA,1,0.282
Aragao GM,1,0.282
Aramayo V,1,0.282
Arana PM,1,0.282
Arena G,1,0.282
Ares DV,1,0.282
Armour R,1,0.282
Arneri E,1,0.282
Arnould JPY,1,0.282
Ashour AM,1,0.282
Ashton GV,1,0.282
Asmus H,1,0.282
Asmus R,1,0.282
Assimakopoulou G,1,0.282
Astorga D,3,0.847
Athira A,1,0.282
Atienza D,2,0.565
Atkins JP,1,0.282
Aubin J,2,0.565
Audzijonyte A,1,0.282
Auel H,1,0.282
Aumack CF,1,0.282
Austen MC,1,0.282
Authier M,1,0.282
Avila IC,1,0.282
Ayers M,1,0.282
Azeez A,1,0.282
Azevedo M,1,0.282
Azmy AF,1,0.282
Acuña JL,1,0.282
Angélico MM,1,0.282
Arias-gonzález JE,1,0.282
Bailly N,1,0.282
Bakun A,1,0.282
Balcombe P,1,0.282
Baliarsingh SK,1,0.282
Banaru D,2,0.565
Bandin R,1,0.282
Barbieri R,2,0.565
Barboza FR,1,0.282
Barbraud C,1,0.282
Barcelo C,1,0.282
Barriga E,1,0.282
Bartelings H,1,0.282
Basinger T,1,0.282
Bastardie F,1,0.282
Bastian T,3,0.847
Battaglia P,1,0.282
Baumann S,1,0.282
Beasley I,1,0.282
Beaubrun P,1,0.282
Beaumont NJ,1,0.282
Beggs SE,2,0.565
Belhabib D,1,0.282
Belkin IM,1,0.282
Bell MC,1,0.282
Belleggia M,1,0.282
Bellido JM,1,0.282
Belloni B,1,0.282
Ben Abdallah O,1,0.282
Ben-hamadou R,1,0.282
Benaissa N,1,0.282
Bendejacq D,1,0.282
Benfield MC,1,0.282
Bensahla-talet L,1,0.282
Bentlage B,1,0.282
Benton TG,1,0.282
Bentorcha A,1,0.282
Bentorcha K,1,0.282
Berdnikov SV,1,0.282
Bergamasco A,1,0.282
Bernal M,1,0.282
Berzolari FG,1,0.282
Betti P,1,0.282
Bhat I,1,0.282
Bhowal A,1,0.282
Bianchi D,2,0.565
Bigot JL,1,0.282
Bithell M,1,0.282
Blackett M,1,0.282
Blenckner T,1,0.282
Bloecher N,1,0.282
Bluemel JK,1,0.282
Bobori DC,1,0.282
Bocher P,1,0.282
Bode A,1,0.282
Boero F,2,0.565
Boersma M,1,0.282
Bogeberg M,1,0.282
Bolivar M,1,0.282
Bologna PAX,1,0.282
Bonanzinga V,1,0.282
Bonar SA,1,0.282
Bondyale-juez D,1,0.282
Bondyale-juez DR,2,0.565
Bonnet D,3,0.847
Borrell A,1,0.282
Borrelli P,1,0.282
Bosello F,1,0.282
Bostrom BL,1,0.282
Botterell ZLR,1,0.282
Bouchett PJ,1,0.282
Bouffard A,1,0.282
Bouslah Y,1,0.282
Bouvier C,1,0.282
Bower SD,1,0.282
Boyd IL,1,0.282
Boyra G,1,0.282
Brante A,1,0.282
Brea CV,1,0.282
