"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Noranarttragoon P.; Koolkalaya S.; Thitipongtrakul W.; Avakul P.; Phoonsawat R.; Jutagate T.","Noranarttragoon, Pavarot (37665701000); Koolkalaya, Sontaya (57417577300); Thitipongtrakul, Weerapol (58209539900); Avakul, Piyathap (57200081194); Phoonsawat, Ratanavaree (57190429667); Jutagate, Tuantong (56311049300)","37665701000; 57417577300; 58209539900; 57200081194; 57190429667; 56311049300","Trawl Fisheries in the Gulf of Thailand: Vulnerability Assessment and Trend Analysis of the Fish Landings","2023","Fishes","8","4","177","","","","0","10.3390/fishes8040177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154568100&doi=10.3390%2ffishes8040177&partnerID=40&md5=fc510a0142557e0fb198cebb551e4b2d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85154568100"
"Nugawela N.P.P.S.; Mahaliyana A.S.; Abhiram G.; Abeygunawardena A.P.","Nugawela, N.P.P.S. (58403946000); Mahaliyana, A.S. (58505836800); Abhiram, G. (57205301057); Abeygunawardena, A.P. (57219566955)","58403946000; 58505836800; 57205301057; 57219566955","A meta-analytic review of microplastic pollution in the Indian Ocean: Ecological health and seafood safety risk implications","2023","Marine Pollution Bulletin","193","","115213","","","","2","10.1016/j.marpolbul.2023.115213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163469217&doi=10.1016%2fj.marpolbul.2023.115213&partnerID=40&md5=8b45d2ecd6ade08af46a6e2912d882a7","Review","Final","","Scopus","2-s2.0-85163469217"
"Heran T.; Laudien J.; Waller R.G.; Häussermann V.; Försterra G.; González H.E.; Richter C.","Heran, Thomas (57226764852); Laudien, Jürgen (15136203500); Waller, Rhian G. (9738296200); Häussermann, Verena (57204227116); Försterra, Günter (14019290200); González, Humberto E. (7102929475); Richter, Claudio (7202686430)","57226764852; 15136203500; 9738296200; 57204227116; 14019290200; 7102929475; 7202686430","Life cycle of the cold-water coral Caryophyllia huinayensis","2023","Scientific Reports","13","1","2593","","","","2","10.1038/s41598-023-29620-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148064433&doi=10.1038%2fs41598-023-29620-x&partnerID=40&md5=acac98efb9531b7abe86ad48f0d835bc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148064433"
"Bournonville M.","Bournonville, Marie (58134099600)","58134099600","Educational use of FishBase by public aquariums","2023","Cybium","47","3","","371","376","5","0","10.26028/cybium/2023-025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166319105&doi=10.26028%2fcybium%2f2023-025&partnerID=40&md5=4fc98c1858972efffed65816f55d9f06","Article","Final","","Scopus","2-s2.0-85166319105"
"Gotama R.; Stean S.J.; Sparks L.D.; Prasetijo R.; Sebastian P.","Gotama, Rinaldi (57780904000); Stean, Serena J. (58403858200); Sparks, Lauren D. (57218227143); Prasetijo, Rahmadi (57671905800); Sebastian, Pascal (57155998100)","57780904000; 58403858200; 57218227143; 57671905800; 57155998100","Citizen science approach for monitoring fish and megafauna assemblages in a remote Marine Protected Area","2023","Regional Studies in Marine Science","64","","103058","","","","2","10.1016/j.rsma.2023.103058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163468805&doi=10.1016%2fj.rsma.2023.103058&partnerID=40&md5=16860cb6231aaa397d9f444eb4e64531","Article","Final","","Scopus","2-s2.0-85163468805"
"Huang Q.; Hou R.; Lin L.; Li H.; Liu S.; Cheng Y.; Xu X.","Huang, Qianyi (57467384300); Hou, Rui (57990099000); Lin, Lang (57200534155); Li, Hengxiang (20434132700); Liu, Shan (34880398600); Cheng, Yuanyue (36462465100); Xu, Xiangrong (7405293882)","57467384300; 57990099000; 57200534155; 20434132700; 34880398600; 36462465100; 7405293882","Bioaccumulation and Trophic Transfer of Organophosphate Flame Retardants and Their Metabolites in the Estuarine Food Web of the Pearl River, China","2023","Environmental Science and Technology","57","9","","3549","3561","12","5","10.1021/acs.est.2c05619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148943312&doi=10.1021%2facs.est.2c05619&partnerID=40&md5=32af78d9a0ad5a08b893a2ce808562c7","Article","Final","","Scopus","2-s2.0-85148943312"
"Ramteke D.; Paramasivam K.; Viswanathan C.; Abhilash K.R.; Jeevamani J.J.J.; Samuel V.D.; Sankar R.; Muruganandam R.; Purvaja R.; Ramesh R.","Ramteke, Darwin (55575098700); Paramasivam, K. (57189216777); Viswanathan, C. (55579330000); Abhilash, K.R. (57196482931); Jeevamani, J. Joyson Joe (55553432400); Samuel, V. Deepak (57193528913); Sankar, R. (56924755000); Muruganandam, R. (57200101117); Purvaja, R. (14122450900); Ramesh, R. (7201897782)","55575098700; 57189216777; 55579330000; 57196482931; 55553432400; 57193528913; 56924755000; 57200101117; 14122450900; 7201897782","Assessment of benthic habitats of highly threatened oyster reefs of Pulicat Lake, India","2023","Regional Studies in Marine Science","66","","103122","","","","0","10.1016/j.rsma.2023.103122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168447725&doi=10.1016%2fj.rsma.2023.103122&partnerID=40&md5=723170f86ec7992828fc8b04df4f6180","Article","Final","","Scopus","2-s2.0-85168447725"
"Jiang C.; Pauly D.; Wang W.; Du J.; Cheng J.; Wang M.","Jiang, Chengpu (57203454507); Pauly, Daniel (7007030396); Wang, Wenqing (55714109400); Du, Jianguo (55308883300); Cheng, Jianhua (58749648300); Wang, Mao (25123150000)","57203454507; 7007030396; 55714109400; 55308883300; 58749648300; 25123150000","A preliminary model of the mangrove ecosystem of Dongzhaigang Bay, Hainan, (China) based on Ecopath and Ecospace","2023","Frontiers in Marine Science","10","","1277226","","","","0","10.3389/fmars.2023.1277226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178964812&doi=10.3389%2ffmars.2023.1277226&partnerID=40&md5=5eb94d747b6cec3fb65ddd2cbd249c04","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178964812"
"Dimarchopoulou D.; Keramidas I.; Tsagarakis K.; Markantonatou V.; Halouani G.; Tsikliras A.C.","Dimarchopoulou, Donna (56554159400); Keramidas, Ioannis (57202906955); Tsagarakis, Konstantinos (24327915700); Markantonatou, Vasiliki (56166393500); Halouani, Ghassen (55711475000); Tsikliras, Athanassios C. (6505910626)","56554159400; 57202906955; 24327915700; 56166393500; 55711475000; 6505910626","Spatiotemporal fishing effort simulations and restriction scenarios in Thermaikos Gulf, Greece (northeastern Mediterranean Sea)","2024","Ocean and Coastal Management","247","","106914","","","","0","10.1016/j.ocecoaman.2023.106914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176501425&doi=10.1016%2fj.ocecoaman.2023.106914&partnerID=40&md5=e323d58dd82a0cc97225e68f62d0f039","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176501425"
"Araignous E.; Kervella Y.; Michelet N.; Luxcey N.; Nava V.; Duarte R.; Isorna R.; Safi G.","Araignous, Emma (57218793505); Kervella, Youen (15020574300); Michelet, Nicolas (57215069073); Luxcey, Neil (53164302100); Nava, Vincenzo (23392999800); Duarte, Rui (57210791678); Isorna, Rocio (57163983100); Safi, Georges (56165411400)","57218793505; 15020574300; 57215069073; 53164302100; 23392999800; 57210791678; 57163983100; 56165411400","Environmental Assessment tool in DTOcean+: reducing local and global environmental impacts for ocean energy projects","2023","International Marine Energy Journal","6","2","","63","90","27","0","10.36688/imej.6.63-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180217570&doi=10.36688%2fimej.6.63-90&partnerID=40&md5=010f23d76f2ff69e95836a207ea76474","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180217570"
