"Affiliations","Record Count","% of 354"
"ABDUS SALAM INTERNATIONAL CENTRE FOR THEORETICAL PHYSICS ICTP",1,0.282
"ABO AKADEMI UNIVERSITY",1,0.282
"ACADEMIA SINICA TAIWAN",1,0.282
"AGENCIA REG DESENVOLVIMENTO INVEST TECNOL INOVA",1,0.282
"AGR RURAL AFFAIRS BUR",1,0.282
"AGRI FOOD BIOSCIENCES INSTITUTE",2,0.565
"AGROCAMPUS OUEST",14,3.955
"AIX MARSEILLE UNIVERSITE",3,0.847
"AKVAPLAN NIVA",1,0.282
"ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH",4,1.13
"ALNILAM RES CONSERVAT LTD",1,0.282
"AO KOVALEVSKY INSTITUTE OF BIOLOGY OF THE SOUTHERN SEAS OF RAS IBSS",1,0.282
"AQUATERA LTD",1,0.282
"ARAB ACADEMY FOR SCIENCE TECHNOLOGY MARITIME TRANSPORT",1,0.282
"ARISTOTLE UNIVERSITY OF THESSALONIKI",2,0.565
"ARTHUR RYLAH INSTITUTE FOR ENVIRONMENTAL RESEARCH ARI",1,0.282
"ASAHIKAWA COLL",1,0.282
"ASHOKA TRUST RES ECOL ENVIRONM ATREE",1,0.282
"ASOCIAC CIENT ALIMENTTA",1,0.282
"ASOCIAC SOLINIA",1,0.282
"ASSOC AMIGOS PEIXE BOI AMPA",1,0.282
"ATLANTIC TECHNOLOGICAL UNIVERSITY ATU",3,0.847
"ATLANTIQUE LANDES RECIFS",1,0.282
"ATTITUS EDUCACAO",4,1.13
"AUSTRALIAN ANTARCTIC DIVISION",2,0.565
"AUSTRALIAN MUSEUM",1,0.282
"AUTONOMOUS UNIVERSITY OF BARCELONA",2,0.565
"AZTI",2,0.565
"BANGKOK UNIVERSITY",1,0.282
"BANGOR UNIVERSITY",1,0.282
"BAZARUTO CTR SCI STUDIES",1,0.282
"BEDFORD INSTITUTE OF OCEANOGRAPHY",2,0.565
"BEIBU GULF UNIVERSITY",2,0.565
"BERHAMPUR UNIVERSITY",1,0.282
"BOGOR AGRICULTURAL UNIVERSITY",1,0.282
"BOURNEMOUTH UNIVERSITY",1,0.282
"CALIFORNIA INSTITUTE OF TECHNOLOGY",2,0.565
"CALIFORNIA STATE POLYTECHNIC UNIVERSITY HUMBOLDT",1,0.282
"CALIFORNIA STATE POLYTECHNIC UNIVERSITY POMONA",1,0.282
"CALIFORNIA STATE UNIVERSITY SYSTEM",4,1.13
"CARLETON UNIVERSITY",1,0.282
"CAWTHRON INSTITUTE",1,0.282
"CEFAS TECHNOL LTD",1,0.282
"CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY JAPAN",2,0.565
"CENTRE FOR ENVIRONMENT FISHERIES AQUACULTURE SCIENCE",7,1.977
"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS",21,5.932
"CENTRO DE ESTUDIOS E INVESTIGACION PARA LA GESTION DE RIESGOS AGRARIOS MEDIOAMBIENTALES CEIGRAM",1,0.282
