"AFFILIATION","number_documents"
"The University of British Columbia",46
"CNRS Centre National de la Recherche Scientifique",19
"IFREMER Institut Francais de Recherche pour l'Exploitation de la Mer",17
"Consiglio Nazionale delle Ricerche",17
"Hellenic Centre for Marine Research",14
"CSIC - Instituto de Ciencias del Mar ICM",14
"Aristotle University of Thessaloniki",14
"Dalhousie University",13
"School of Biology",11
"Fisheries and Oceans Canada",10
"University of Washington",10
"University of Miami",10
"Commonwealth Scientific and Industrial Research Organisation",10
"MARBEC MARine Biodiversity, Exploitation and Conservation",10
"Technical University of Denmark",9
"La Rochelle Université",9
"GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel",9
"Université de Montpellier",9
"CSIC-IEO - Instituto Español de Oceanografía",8
"Consejo Superior de Investigaciones Científicas",8
"Rosenstiel School of Marine and Atmospheric Science",8
"University of the Aegean",8
"National Oceanic and Atmospheric Administration",8
"University of California, Santa Barbara",8
"The University of Queensland",8
"Universidade Federal Fluminense",7
"James Cook University",7
"Museum National d'Histoire Naturelle",7
"Stazione Zoologica Anton Dohrn",7
"Littoral Environnement et Sociétés LIENSs",7
"University of Cape Town",6
"Ministry of Education of the People's Republic of China",6
"Istituto Nazionale di Oceanografia e di Geofisica Sperimentale",6
"Cornell University",6
"University of Tasmania",6
"Ocean University of China",6
"University of Exeter",6
"University of South Florida St. Petersburg",6
"Istituto per le Risorse Biologiche e le Biotecnologie Marine",6
"University of East Anglia",5
"Universidade do Algarve",5
"University of Victoria",5
"NOAA Southeast Fisheries Science Center",5
"Cornell Lab of Ornithology",5
"Stanford University",5
"National Center for Ecological Analysis and Synthesis",5
"Hawaiʻi Institute of Marine Biology",5
"UiT Norges Arktiske Universitet",5
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung",5
"Universidade de Aveiro",5
"Universität Freiburg",5
"Alma Mater Studiorum Università di Bologna",5
"IRD Institut de Recherche pour le Developpement",5
"National Institute of Oceanography and Fisheries",5
"Florida Fish and Wildlife Conservation Commission",5
"The University of Western Australia",5
"University of the Sunshine Coast",5
"Italian Institute for Environmental Protection and Research",5
"Advanced Conservation Strategies",4
"Universidade Federal do Rio de Janeiro",4
"Sorbonne Université",4
"Texas A and M University - Corpus Christi",4
"Faculdade de Ciências, Universidade de Lisboa",4
"Royal Netherlands Institute for Sea Research",4
"Tel Aviv University",4
"Universidade do Porto",4
"Universidade de São Paulo",4
"The University of Rhode Island",4
"National Oceanography Centre Southampton",4
"University of Leeds",4
"University of Florida",4
"Australian Institute of Marine Science",4
"Instituto Politécnico Nacional",4
"University of St Andrews",4
"Havforskningsinstituttet",4
"Fundacao Universidade Federal de Rondonia",4
"L'Institut Agro Rennes-Angers",4
"Universidade Estadual do Norte Fluminense",4
"National Geographic Society",4
"Università di Pisa",4
"National and Kapodistrian University of Athens",4
"Bedford Institute of Oceanography, Fisheries and Oceans Canada",4
"University of Cambridge",4
"Hasanuddin University",4
"Zoological Survey of India",4
"Istituto di Scienza e Tecnologie dell'Informazione A. Faedo",4
"Laboratoire des Sciences de L'Environnement Marin LEMAR",4
"Universidade de Lisboa",4
"Noakhali Science and Technology University",4
"United Nations Environment Programme World Conservation Monitoring Centre",4
