"SOURCE TITLE","number of documents"
"Frontiers In Marine Science",30
"Plos One",18
"Regional Studies In Marine Science",13
"ICES Journal Of Marine Science",10
"Fisheries Research",9
"Fish And Fisheries",8
"Ecological Modelling",7
"Marine Ecology Progress Series",7
"Marine Pollution Bulletin",7
"Scientific Reports",7
"Ecological Indicators",6
"Mediterranean Marine Science",6
"Progress In Oceanography",6
"Biodiversitas",5
"Egyptian Journal Of Aquatic Research",5
"Estuarine Coastal And Shelf Science",5
"Iop Conference Series Earth And Environmental Science",5
"Journal Of Marine Science And Engineering",5
"Science Of The Total Environment",5
"Cybium",4
"Diversity",4
"Indian Journal Of Geo Marine Sciences",4
"Marine Biology",4
"Ocean And Coastal Management",4
"Proceedings Of The National Academy Of Sciences Of The United States Of America",4
"Reviews In Fish Biology And Fisheries",4
"Scientific Data",4
"Aacl Bioflux",3
"Aquatic Invasions",3
"Environmental Science And Pollution Research",3
"Environmental Science And Technology",3
"Fishes",3
"Food Control",3
"Global Change Biology",3
"Hydrobiologia",3
"Iranian Journal Of Fisheries Sciences",3
"Journal Of Sea Research",3
"Marine Environmental Research",3
"Marine Policy",3
"Peerj",3
"Thalassas",3
"Acta Adriatica",2
"Aquatic Living Resources",2
"Bioinvasions Records",2
"Biological Conservation",2
"Bulletin Of Marine Science",2
"Canadian Journal Of Fisheries And Aquatic Sciences",2
"Crustaceana",2
"Data In Brief",2
"Deep Sea Research Part I Oceanographic Research Papers",2
"Diversity And Distributions",2
"Ecology And Evolution",2
"Food Webs",2
"Global Ecology And Biogeography",2
"Human Ecology",2
"Journal Of Coastal Research",2
"Journal Of Environmental Management",2
"Journal Of Marine Systems",2
"Nature",2
"Nature Communications",2
"Proceedings Of The Royal Society B Biological Sciences",2
"Reviews In Aquaculture",2
"Sustainability Switzerland",2
"Zoology And Ecology",2
"Zootaxa",2
"Acta Limnologica Brasiliensia",1
"Acta Physica Polonica A",1
"African Invertebrates",1
"Aip Conference Proceedings",1
"Ambio",1
"Anais Da Academia Brasileira De Ciencias",1
"Animals",1
"Annals Of Carnegie Museum",1
"Anthropozoologica",1
"Aquaculture Environment Interactions",1
"Aquaculture Reports",1
"Aquaculture Research",1
"Aquatic Conservation Marine And Freshwater Ecosystems",1
"Aquatic Ecosystem Health And Management",1
"Archives Of Environmental Contamination And Toxicology",1
"Asian Fisheries Science",1
"Asian Journal Of Water Environment And Pollution",1
"Avian Conservation And Ecology",1
"Biodiversity And Conservation",1
"Biological Invasions",1
"Biology Bulletin",1
"Biotropica",1
"Borneo Journal Of Resource Science And Technology",1
"Brazilian Journal Of Biology",1
"Bulletin Of Environmental Contamination And Toxicology",1
"Cahiers De Biologie Marine",1
"Chemosphere",1
"Coastal Research Library",1
"Current Environmental Health Reports",1
"Database",1
"Deep Sea Research Part II Topical Studies In Oceanography",1
"Earth System Science Data",1
"Ecological Applications",1
"Ecological Informatics",1
"Egyptian Journal Of Aquatic Biology And Fisheries",1
"Environmental Archaeology",1
"Environmental Biology Of Fishes",1
"Environmental History",1
"Environmental Management",1
"Environmental Monitoring And Assessment",1
"Environmental Research",1
"Environmental Science And Technology Letters",1
"Estuaries And Coasts",1
"Ethnoarchaeology",1
"Fisheries",1
"Fisheries Management And Ecology",1
"Fishery Bulletin",1
"Folia Malacologica",1
"Foods",1
"Frontiers In Ecology And Evolution",1
"Geo Geography And Environment",1
"Global Sustainability",1
"Haiyang Xuebao",1
"Hayati Journal Of Biosciences",1
"Iheringia Serie Zoologia",1
"Indian Journal Of Animal Research",1
"Industrie Alimentari",1
"International Journal Of Digital Earth",1
"International Journal Of Food Microbiology",1
"International Marine Energy Journal",1
"Invertebrate Biology",1
"Invertebrate Zoology",1
"Israeli Journal Of Aquaculture Bamidgeh",1
"Italian Journal Of Food Safety",1
"Journal Of AOAC International",1
"Journal Of Applied Ecology",1
"Journal Of Applied Phycology",1
"Journal Of Cleaner Production",1
"Journal Of Fish Biology",1
"Journal Of Hazardous Materials",1
"Journal Of Natural History",1
"Journal Of Sustainable Tourism",1
"Journal Of The Marine Biological Association Of The United Kingdom",1
"Journal Of The World Aquaculture Society",1
"Journal Of Wildlife And Biodiversity",1
"Key Engineering Materials",1
"Latin American Journal Of Aquatic Research",1
"Marine And Coastal Fisheries",1
"Marine And Freshwater Research",1
"Marine Biodiversity",1
"Marine Geology",1
"Molluscan Research",1
"Nature Climate Change",1
"Nature Ecology And Evolution",1
"Ocean Engineering",1
"Ocean Science Journal",1
"Organisms Diversity And Evolution",1
